user_id,accuracy,precision,recall,balanced_accuracy
73427,0.509091,0.627306,0.292096,0.536977
73911,0.598253,0.340974,0.269841,0.511662
73921,0.733122,0.209205,0.438596,0.605989
73940,0.74361,0.047022,0.46875,0.609785
73975,0.695051,0.082386,0.232,0.486697
73990,0.668037,0.118852,0.211679,0.477251
74094,0.775194,0.548387,0.53125,0.69346
74254,0.529158,0.330472,0.215686,0.470761
74260,0.51479,0.429864,0.240202,0.489801
74542,0.757576,0.147059,0.625,0.695565
74737,0.714286,0.278571,0.40625,0.592622
74859,0.753059,0.111607,0.520833,0.643495
74976,0.695882,0.26971,0.367232,0.56933
74979,0.81295,0.371429,0.764706,0.792189
75000,0.461165,0.314815,0.186813,0.432537
75097,0.756281,0.176471,0.580645,0.675881
75100,0.685484,0.15625,0.294118,0.520891
75264,0.751914,0.224242,0.521127,0.650598
75493,0.749478,0.135246,0.532258,0.648383
75648,0.60266,0.232787,0.225397,0.480942
75685,0.693093,0.204819,0.348718,0.552023
75732,0.661638,0.296137,0.315068,0.541878
76262,0.740625,0.149847,0.475728,0.619767
76350,0.661538,0.603774,0.415584,0.618809
76363,0.608621,0.311512,0.268482,0.509853
76649,0.794872,0.272727,1.0,0.888889
76729,0.73578,0.212329,0.516667,0.639777
76870,0.764706,0.208333,0.5,0.646739
76899,0.661649,0.157623,0.242063,0.493289
77018,0.783333,0.16129,1.0,0.886957
77116,0.706415,0.181548,0.348571,0.55472
77291,0.716279,0.111111,0.315789,0.535446
77354,0.747059,0.295455,0.52,0.653103
77367,0.754125,0.18543,0.518519,0.647846
77653,0.676923,0.111111,0.214286,0.479934
77706,0.833333,0.333333,1.0,0.909091
78070,0.769912,0.310345,0.6,0.697959
78111,0.722401,0.105485,0.347222,0.550498
78154,0.721348,0.297297,0.417722,0.602303
78295,0.729483,0.270784,0.452381,0.615997
78379,0.652921,0.31982,0.318386,0.543039
78394,0.593361,0.290323,0.25,0.494822
78483,0.79,0.230769,0.857143,0.821045
78602,0.675273,0.332031,0.352697,0.56473
78615,0.753505,0.055814,0.6,0.678589
78678,0.776596,0.145833,0.875,0.823611
78690,0.67083,0.174157,0.287037,0.515134
78727,0.75817,0.282051,0.55,0.669737
78739,0.712963,0.153285,0.35,0.554167
78752,0.753181,0.13198,0.530612,0.649295
78864,0.564125,0.255245,0.201102,0.465911
79107,0.716981,0.150943,0.347826,0.554865
79122,0.739933,0.271523,0.476744,0.630529
79386,0.658863,0.495455,0.358553,0.585684
79400,0.61,0.204893,0.213376,0.474842
79628,0.781955,0.294118,0.666667,0.731638
79693,0.619048,0.334471,0.285714,0.522783
79708,0.633154,0.221538,0.242424,0.495467
79718,0.779661,0.483871,0.6,0.713978
79789,0.770588,0.162791,0.7,0.7375
79803,0.709887,0.231263,0.377622,0.574115
79812,0.787234,0.2,1.0,0.88764
79861,0.716137,0.25,0.406015,0.589879
79910,0.687316,0.046512,0.142857,0.439596
79947,0.679641,0.282353,0.342857,0.555898
79989,0.671946,0.252252,0.311111,0.537658
80032,0.717949,0.119342,0.367089,0.55869
80265,0.758621,0.247934,0.681818,0.724541
80325,0.615124,0.259912,0.25431,0.498715
80361,0.717979,0.218107,0.514563,0.630276
80542,0.776316,0.216667,0.764706,0.770979
80574,0.585139,0.286154,0.234257,0.48752
80635,0.64544,0.18239,0.232932,0.489389
80645,0.704492,0.271028,0.381579,0.578398
80803,0.711302,0.110553,0.275,0.516928
80812,0.574681,0.377698,0.263158,0.507831
80814,0.728287,0.130841,0.403846,0.580724
80880,0.747748,0.195402,0.548387,0.6583
80933,0.648819,0.23125,0.270073,0.511543
80979,0.696309,0.197368,0.337079,0.548224
80988,0.746269,0.093137,0.5,0.629243
80997,0.625631,0.317269,0.282143,0.521521
81093,0.666121,0.303226,0.328671,0.548951
81119,0.754491,0.27907,0.545455,0.665831
81412,0.714602,0.189427,0.367521,0.566861
81457,0.6407,0.328221,0.314706,0.538072
81472,0.596019,0.255814,0.229167,0.48429
81683,0.818966,0.5,0.761905,0.796742
81872,0.764706,0.25641,0.588235,0.6875
81980,0.715356,0.356784,0.415205,0.606015
81992,0.721402,0.086957,0.324324,0.53741
82127,0.740801,0.045161,0.4,0.575421
82216,0.595331,0.265625,0.22973,0.48645
